t,Room_1 (00 : 2f46d),Outside,Выход (00 : f8032) 2f46d<->,
0.00,71.25,0.00,0.00,
0.01,70.05,1.20,1.20,
0.02,68.86,2.39,1.19,
0.03,67.68,3.57,1.18,
0.04,66.52,4.73,1.16,
0.05,65.37,5.88,1.15,
0.06,64.23,7.02,1.14,
0.07,63.10,8.14,1.12,
0.08,61.99,9.26,1.11,
0.09,60.89,10.36,1.10,
0.10,59.81,11.44,1.09,
0.11,58.73,12.52,1.07,
0.12,57.67,13.58,1.06,
0.13,56.62,14.63,1.05,
0.14,55.59,15.66,1.04,
0.15,54.56,16.69,1.02,
0.16,53.55,17.70,1.01,
0.17,52.55,18.70,1.00,
0.18,51.57,19.68,0.99,
0.19,50.59,20.66,0.97,
0.20,49.63,21.62,0.96,
0.21,48.68,22.57,0.95,
0.22,47.75,23.50,0.94,
0.23,46.82,24.43,0.92,
0.24,45.91,25.34,0.91,
0.25,45.01,26.24,0.90,
0.26,44.12,27.13,0.89,
0.27,43.25,28.00,0.88,
0.28,42.38,28.87,0.86,
0.29,41.53,29.72,0.85,
0.30,40.69,30.56,0.84,
0.31,39.86,31.38,0.83,
0.32,39.05,32.20,0.82,
0.33,38.24,33.01,0.80,
0.34,37.45,33.80,0.79,
0.35,36.67,34.58,0.78,
0.36,35.90,35.35,0.77,
0.37,35.14,36.11,0.76,
0.38,34.40,36.85,0.74,
0.39,33.68,37.57,0.72,
0.40,32.97,38.28,0.71,
0.41,32.28,38.97,0.69,
0.42,31.60,39.65,0.68,
0.43,30.93,40.32,0.67,
0.44,30.28,40.97,0.65,
0.45,29.64,41.61,0.64,
0.46,29.02,42.23,0.62,
0.47,28.41,42.84,0.61,
0.48,27.81,43.44,0.60,
0.49,27.22,44.02,0.59,
0.50,26.65,44.60,0.57,
0.51,26.09,45.16,0.56,
0.52,25.54,45.71,0.55,
0.53,25.00,46.25,0.54,
0.54,24.48,46.77,0.53,
0.55,23.96,47.29,0.52,
0.56,23.46,47.79,0.50,
0.57,22.96,48.29,0.49,
0.58,22.48,48.77,0.48,
0.59,22.01,49.24,0.47,
0.60,21.54,49.71,0.46,
0.61,21.09,50.16,0.45,
0.62,20.64,50.60,0.44,
0.63,20.21,51.04,0.43,
0.64,19.78,51.46,0.43,
0.65,19.37,51.88,0.42,
0.66,18.96,52.29,0.41,
0.67,18.56,52.69,0.40,
0.68,18.17,53.08,0.39,
0.69,17.79,53.46,0.38,
0.70,17.41,53.83,0.37,
0.71,17.05,54.20,0.37,
0.72,16.69,54.56,0.36,
0.73,16.34,54.91,0.35,
0.74,15.99,55.26,0.34,
0.75,15.66,55.59,0.34,
0.76,15.33,55.92,0.33,
0.77,15.00,56.24,0.32,
0.78,14.69,56.56,0.32,
0.79,14.38,56.87,0.31,
0.80,14.08,57.17,0.30,
0.81,13.78,57.47,0.30,
0.82,13.49,57.76,0.29,
0.83,13.21,58.04,0.28,
0.84,12.93,58.32,0.28,
0.85,12.66,58.59,0.27,
0.86,12.39,58.86,0.27,
0.87,12.13,59.12,0.26,
0.88,11.87,59.38,0.26,
0.89,11.62,59.63,0.25,
0.90,11.38,59.87,0.24,
0.91,11.14,60.11,0.24,
0.92,10.90,60.34,0.23,
0.93,10.67,60.57,0.23,
0.94,10.45,60.80,0.22,
0.95,10.23,61.02,0.22,
0.96,10.01,61.23,0.22,
0.97,9.80,61.44,0.21,
0.98,9.60,61.65,0.21,
0.99,9.40,61.85,0.20,
1.00,9.20,62.05,0.20,
1.01,9.00,62.24,0.19,
1.02,8.81,62.43,0.19,
1.03,8.63,62.62,0.19,
1.04,8.45,62.80,0.18,
1.05,8.27,62.98,0.18,
1.06,8.09,63.15,0.17,
1.07,7.92,63.32,0.17,
1.08,7.76,63.49,0.17,
1.09,7.59,63.65,0.16,
1.10,7.43,63.81,0.16,
1.11,7.28,63.97,0.16,
1.12,7.12,64.12,0.15,
1.13,0.00,71.25,7.12,
